School Name,Category,Street Address,City,State,ZIP Code,Students,Grant Category,Organization Name,Fiscal Year,Mapped Location
Madison Middle Prep,MNPS,300 West Old Hickory Blvd,Madison,TN,37115,30,Creation,Choral Arts Link,FY16,"300 West Old Hickory Blvd
Madison, TN 37115
(36.263489, -86.716018)"
Robert Churchwell Museum Magnet Elementary School,MNPS,1625 Dr D.B. Todd Jr Blvd,Nashville,TN,37208,35,After-School Arts,Tennessee Performing Arts Center,FY16,"1625 Dr D.B. Todd Jr Blvd
Nashville, TN 37208
(36.175783, -86.809257)"
Glenn Enhanced Option Elementary School,MNPS,322 Cleveland Street,Nashville,TN,37207,165,Basic Operating,Nashville Ballet,FY16,"322 Cleveland Street
Nashville, TN 37207
(36.186975, -86.766561)"
Casa Azafran Early Learning Center,Pre-K/ELC,2195 Nolensville Pike,Nashville,TN,37211,124,Basic Operating,Nashville Children's Theatre,FY17,"2195 Nolensville Pike
Nashville, TN 37211
(36.126647, -86.753004)"
Lipscomb Academy,Private,3901 Granny White Pike,Nashville,TN,37204,364,Basic Operating,Nashville Children's Theatre,FY16,"3901 Granny White Pike
Nashville, TN 37204
(36.104122, -86.796661)"
St. Paul Christian Academy,Private,5035 Hillsboro Pike,Nashville,TN,37215,47,Basic Operating,Frist Center for the Visual Arts,FY17,"5035 Hillsboro Pike
Nashville, TN 37215
(36.096962, -86.824113)"
Martin Luther King Jr. Magnet High School,MNPS,613 17th Avenue North,Nashville,TN,37203,1,Basic Operating,"Actors Bridge Ensemble Theatre of Nashville, Inc.",FY16,"613 17th Avenue North
Nashville, TN 37203
(36.162085, -86.800393)"
Rosebank Elementary School,MNPS,1012 Preston Drive,Nashville,TN,37206,144,Basic Operating,Nashville Children's Theatre,FY19,"1012 Preston Drive
Nashville, TN 37206
(36.184389, -86.717303)"
St. Paul christian academy,Private School,5033 hillsboro rd,nashville,TN,37215,76,Basic Operating,Nashville Children's Theatre,FY19,"5033 hillsboro rd
nashville, TN 37215
(36.097603, -86.823262)"
Ruby Major Elementary School,MNPS,5141 John Hager Road,Hermitage,TN,37076,4,Arts Access,Global Education Center,FY17,"5141 John Hager Road
Hermitage, TN 37076
(36.157707, -86.579044)"
Margaret Allen Middle School,MNPS,500 Spence Lane,Nashville,TN,37210,25,Basic Operating,"Moves & Grooves, Inc.",FY19,"500 Spence Lane
Nashville, TN 37210
(36.146239, -86.722416)"
Cockrill Elementary School,MNPS,4701 Indiana Avenue,Nashville,TN,37209,1,Basic Operating,W.O. Smith Music School,FY16,"4701 Indiana Avenue
Nashville, TN 37209
(36.156626, -86.84498)"
Inglewood Elementary School,MNPS,1700 Riverside Dr,Nashville,TN,37216,123,Core Operating,ALIAS Chamber Ensemble,FY19,"1700 Riverside Dr
Nashville, TN 37216
(36.197707, -86.72332)"
Belle Meade Children's Center,Early Learning Center/Pre-K,121 Davidson Rd,Nashville,TN,37205,80,Basic Operating,Nashville Ballet,FY19,"121 Davidson Rd
Nashville, TN 37205
(36.115212, -86.862587)"
Hattie Cotton Elementary School,Metro Nashville Public School,1033 West Greenwood Avenue,Nashville,TN,37206,80,Basic Operating,Nashville Ballet,FY19,"1033 West Greenwood Avenue
Nashville, TN 37206
(36.190618, -86.747804)"
Rocketship United Academy,MNPS,320 Plus Park Boulevard,Nashville,TN,37217,4,Arts Access,Global Education Center,FY17,"320 Plus Park Boulevard
Nashville, TN 37217
(36.130488, -86.725368)"
Westminster School for Young Children,ELC/Pre-K,3900 West End Avenue,Nashville,TN,37205,228,Basic Operating,Global Education Center,FY19,"3900 West End Avenue
Nashville, TN 37205
(36.131513, -86.834049)"
Dan Mills Elementary School,MNPS,4106 Kennedy Avenue,Nashville,TN,37216,1,Basic Operating,W.O. Smith Music School,FY16,"4106 Kennedy Avenue
Nashville, TN 37216
(36.218646, -86.717495)"
Big Picture High,MNPS,160 Rural Road,Nashville,TN,37209,2,Basic Operating,Global Education Center,FY19,"160 Rural Road
Nashville, TN 37209
(36.142515, -86.855997)"
Homeschool,Home Schooled,,,TN,,200,Basic Operating,Country Music Foundation,FY17,"TN
(35.842998, -86.343226)"
Harvest Hands,Nonprofit Facility,155 B Old Hermitage,Nashville,TN,37210,20,Basic operating,Frist Art Museum,FY19,"155 B Old Hermitage
Nashville, TN 37210
(36.154195, -86.760867)"
Kipp Nashville College Prep Elementary,Other,3410 Knight Drive,White's Creek,TN,37189,70,Basic Operating,Nashville Children's Theatre,FY19,"3410 Knight Drive
White's Creek, TN 37189
(36.23811, -86.802825)"
Westminster School for Young Children,Private,3900 West End Avenue,Nashville,TN,37205,192,Basic Operating,Global Education Center,FY16,"3900 West End Avenue
Nashville, TN 37205
(36.131513, -86.834049)"
Shwab Elementary School,MNPS,1500 Dickerson Pike,Nashville,TN,37207,130,Basic Operating,Tennessee Performing Arts Center,FY16,"1500 Dickerson Pike
Nashville, TN 37207
(36.199361, -86.770285)"
Percy Priest Elementary School,MNPS,1700 Otter Creek Road,Nashville,TN,37215,93,Basic Operating,Tennessee Performing Arts Center,FY17,"1700 Otter Creek Road
Nashville, TN 37215
(36.061273, -86.833745)"
River Road Academy,Private,8283 River Road Pike,Nashville,TN,37209,15,Basic Operating,Nashville Repertory Theatre,FY17,"8283 River Road Pike
Nashville, TN 37209
(36.197183, -86.969686)"
North Head Start,Pre-K/ELC,1624 5th Avenue North,Nashville,TN,37208,200,Basic Operating,Tennessee Performing Arts Center,FY16,"1624 5th Avenue North
Nashville, TN 37208
(36.18092, -86.791679)"
Middle Tennessee Christian School,Other,100 E MTCS Road,Murfreesboro,TN,37129,1,Core Operating,Theater Bug,FY19,"100 E MTCS Road
Murfreesboro, TN 37129
(35.872599, -86.382118)"
West End Middle Prep,MNPS,3529 West End Avenue,Nashville,TN,37205,30,Basic Operating,The Nashville Shakespeare Festival,FY16,"3529 West End Avenue
Nashville, TN 37205
(36.134835, -86.824625)"
Cole Elementary School,MNPS,5060 Colemont Drive,Antioch,TN,37013,7,Arts Access,Global Education Center,FY17,"5060 Colemont Drive
Antioch, TN 37013
(36.058085, -86.699196)"
STEM Middle Prep,MNPS,1162 Foster Avenue,Nashville,TN,37210,29,Basic Operating,Cheekwood Botanical Garden and Museum of Art,FY16,"1162 Foster Avenue
Nashville, TN 37210
(36.136091, -86.741195)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,35,Basic Operating,Nashville Symphony,FY17,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Park Avenue Enhanced Option Elementary School,MNPS,3703 Park Avenue,Nashville,TN,37209,549,Basic Operating,Nashville Ballet,FY17,"3703 Park Avenue
Nashville, TN 37209
(36.151584, -86.829723)"
Park Avenue Enhanced Option Elementary School,MNPS,3703 Park Avenue,Nashville,TN,37209,50,Basic Operating,Nashville Children's Theatre,FY17,"3703 Park Avenue
Nashville, TN 37209
(36.151584, -86.829723)"
Hickman Elementary School,MNPS,112 Stewarts Ferry Pike,Nashville,TN,37214,65,After-School Arts,Tennessee Performing Arts Center,FY16,"112 Stewarts Ferry Pike
Nashville, TN 37214
(36.166855, -86.655375)"
Hull Jackson Montessori Magnet,MNPS,1015 Kellow St,Nashville,TN,37208,8,Youth Arts,"Notes for Notes, Inc",FY19,"1015 Kellow St
Nashville, TN 37208
(36.190768, -86.807322)"
Belmont United Methodist Church,Other,2007 Acklen Avenue,Nashville,TN,37212-3715,2,Basic Operating,Cheekwood,FY19,"2007 Acklen Avenue
Nashville, TN 37212-3715
(36.135695, -86.800243)"
Stratton Elementary School,MNPS,310 West Old Hickory Blvd,Madison,TN,37115,1,Arts Access,East Nashville Hope Exchange,FY17,"310 West Old Hickory Blvd
Madison, TN 37115
(36.263561, -86.716661)"
Knowledge Academy,MNPS,5320 Hickory Hollow Pkwy,Antioch,TN,37013,80,Basic Operating,Belcourt Theatre,FY19,"5320 Hickory Hollow Pkwy
Antioch, TN 37013
(36.046023, -86.65413)"
Smith Springs Elementary School,MNPS,3132 Smith Springs Road,Antioch,TN,37013,230,Basic Operating,Moves and Grooves,FY17,"3132 Smith Springs Road
Antioch, TN 37013
(36.082957, -86.596744)"
Lakeview Elementary Design Center,MNPS,455 Rural Hill Road,Nashville,TN,37217,57,After-School Arts,Tennessee Performing Arts Center,FY17,"455 Rural Hill Road
Nashville, TN 37217
(36.078477, -86.629671)"
Mount View Elementary,MNPS,3820 Murfreesboro Road,Antioch,TN,37013-2216,10,Basic Operating,Cheekwood,FY19,"3820 Murfreesboro Road
Antioch, TN 37013-2216
(36.040653, -86.604368)"
Cumberland,MNPS,4247 Cato Road,Nashville,TN,37218,2,Youth Arts,"East Nashville Hope Exchange, Inc.",FY19,"4247 Cato Road
Nashville, TN 37218
(36.212186, -86.866175)"
Waverly Belmont Elementary,MNPS,2301 10th Ave S,Nashville,TN,37204,2,Core Operating,Theater Bug,FY19,"2301 10th Ave S
Nashville, TN 37204
(36.126411, -86.786249)"
East End Prep,MNPS,1460 McGavock Pike,Nashville,TN,37216,9,Youth Arts,"East Nashville Hope Exchange, Inc.",FY19,"1460 McGavock Pike
Nashville, TN 37216
(36.207179, -86.718799)"
John F. Kennedy Middle Prep,MNPS,2087 Hobson Pike,Antioch,TN,37013,421,Basic Operating,Nashville Children's Theatre,FY17,"2087 Hobson Pike
Antioch, TN 37013
(36.054839, -86.598929)"
Neely's Bend Elementary School,MNPS,1300 Neelys Bend Road,Madison,TN,37115,392,Basic Operating,Nashville Children's Theatre,FY17,"1300 Neelys Bend Road
Madison, TN 37115
(36.239893, -86.672446)"
Conexion Americas,Nonprofit Facility (Non-Arts),2195 Nolensville Pike,Nashville,TN,37211,22,Basic operating,Frist Art Museum,FY19,"2195 Nolensville Pike
Nashville, TN 37211
(36.126647, -86.753004)"
Pearl Cohn Enternationment Magnet High School,MNPS,904 26th Avenue North,Nashville,TN,37208,408,Basic Operating,Tennessee Performing Arts Center,FY17,"904 26th Avenue North
Nashville, TN 37208
(36.164278, -86.816051)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,3,Basic Operating,Choral Arts Link,FY17,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Julia Green Elementary School,MNPS,3500 Hobbs Road,Nashville,TN,37215,410,Basic Operating,Country Music Foundation,FY17,"3500 Hobbs Road
Nashville, TN 37215
(36.102263, -86.832973)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,352,Basic Operating,Nashville Opera Association,FY16,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Cockrill Elementary School,MNPS,4701 Indiana Avenue,Nashville,TN,37209,400,Basic Operating,Nashville Opera Association,FY16,"4701 Indiana Avenue
Nashville, TN 37209
(36.156626, -86.84498)"
Whitsitt Elementary School,MNPS,110 Whitsett Road,Nashville,TN,37210,80,Basic Operating,Nashville Children's Theatre,FY19,"110 Whitsett Road
Nashville, TN 37210
(36.114573, -86.736807)"
Carter-Lawrence Elementary School,MNPS,1118 12th Avenue South,Nashville,TN,37203,60,Basic Operating,Tennessee Performing Arts Center,FY17,"1118 12th Avenue South
Nashville, TN 37203
(36.143513, -86.786798)"
KIPP Kirkpatrick Elementary School,MNPS,1000 Sevier Street,Nashville,TN,37206,106,Basic Operating,Cheekwood,FY17,"1000 Sevier Street
Nashville, TN 37206
(36.168341, -86.752899)"
Homeschool,Home Schooled,,,TN,,15,Basic Operating,Tennessee Performing Arts Center,FY17,"TN
(35.842998, -86.343226)"
Charlotte Park Elementary School,MNPS,480 Annex Avenue,Nashville,TN,37209,1,Basic Operating,Choral Arts Link,FY17,"480 Annex Avenue
Nashville, TN 37209
(36.15212, -86.88324)"
Holly Street Daycare,Pre-K/ELC,1401 Holly Street,Nashville,TN,37206,32,Basic Operating,Tennessee Performing Arts Center,FY16,"1401 Holly Street
Nashville, TN 37206
(36.175814, -86.745787)"
NAZA - Croft Middle School,MNPS,482 Elysian Fields Road,Nashville,TN,37211,12,Basic Operating,"Country Music Foundation, Inc. dba Country Music Hall of Fame and Museum",FY19,"482 Elysian Fields Road
Nashville, TN 37211
(36.084443, -86.736871)"
Inglewood Elementary,MNPS,1700 Riverside Drive,Nashville,TN,37216,201,Basic Operating,"Country Music Foundation, Inc. dba Country Music Hall of Fame and Museum",FY19,"1700 Riverside Drive
Nashville, TN 37216
(36.197707, -86.72332)"
McGavock High School,MNPS,3150 McGavock Pike,Nashville,TN,37214,7,Basic Operating,W.O. Smith Music School,FY16,"3150 McGavock Pike
Nashville, TN 37214
(36.185147, -86.67648)"
Brick Church College Prep,MNPS,2835 Brick Church Pike,Nashville,TN,37207,1,Basic Operating,W.O. Smith Music School,FY16,"2835 Brick Church Pike
Nashville, TN 37207
(36.219952, -86.782287)"
Nashville International Academy,Other,7335 Charlotte Ave,Nashville,TN,37209,44,Basic Operating,Nashville Children's Theatre,FY19,
Glencliff High School,MNPS,160 Antioch Pike,Nashville,TN,37211,320,Basic Operating,Southern Word,FY16,"160 Antioch Pike
Nashville, TN 37211
(36.100889, -86.726609)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,36,Basic Operating,Tennessee Performing Arts Center,FY17,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Thurgood Marshall Middle Prep,MNPS,5832 Pettus Road,Antioch,TN,37013,543,Basic Operating,Moves and Grooves,FY17,"5832 Pettus Road
Antioch, TN 37013
(36.022414, -86.664733)"
Glenn Enhanced Option Elementary School,MNPS,322 Cleveland Street,Nashville,TN,37207,170,Basic Operating,Nashville Symphony,FY17,"322 Cleveland Street
Nashville, TN 37207
(36.186975, -86.766561)"
Tom Joy Elementary School,MNPS,2201 Jones Avenue,Nashville,TN,37207,2,Arts Access,"East Nashville Hope Exchange, Inc.",FY16,"2201 Jones Avenue
Nashville, TN 37207
(36.209078, -86.757096)"
Hull-Jackson Montessori Magnet,MNPS,1015 Kellow Street,Nashville,TN,37208,184,Basic Operating,Nashville Children's Theatre,FY19,"1015 Kellow Street
Nashville, TN 37208
(36.190768, -86.807322)"
University School of Nashville,Private School,2000 Edgehill Ave,Nashville,TN,37212,1,Core Operating,The Porch Writer's Collective,FY19,"2000 Edgehill Ave
Nashville, TN 37212
(36.143997, -86.798995)"
Christ Presbyterian Academy,Private School,2323-A Old Hickory Boulevard,Nashville,TN,37215-5311,5,Basic Operating,Cheekwood,FY19,"2323-A Old Hickory Boulevard
Nashville, TN 37215-5311
(36.050647, -86.878085)"
The Cohn Learning Center,MNPS,4805 Park Avenue,Nashville,TN,37209,31,Basic Operating,Southern Word,FY17,"4805 Park Avenue
Nashville, TN 37209
(36.150961, -86.844705)"
McGavock High,MNPS,3150 McGavock Pike,Nashville,TN,37214,4,Basic Operating,Global Education Center,FY19,"3150 McGavock Pike
Nashville, TN 37214
(36.185147, -86.67648)"
Robert Churchwell Museum Magnet Elementary School,MNPS,1625 Dr D.B. Todd Jr Blvd,Nashville,TN,37208,375,Basic Operating,Tennessee Performing Arts Center,FY17,"1625 Dr D.B. Todd Jr Blvd
Nashville, TN 37208
(36.175783, -86.809257)"
Explore! Community School,MNPS,217 South 10th Street,Nashville,TN,37206,180,Basic Operating,Nashville Opera,FY17,"217 South 10th Street
Nashville, TN 37206
(36.174536, -86.751919)"
Whites Creek High School,MNPS,7277 Old Hickory Blvd,Whites Creek,TN,37189,4,Basic Operating,W.O. Smith Music School,FY17,"7277 Old Hickory Blvd
Whites Creek, TN 37189
(36.273182, -86.818339)"
Isaac Litton Middle Prep,MNPS,4601 Hedgewood Drive,Nashville,TN,37216,10,Basic Operating,Southern Word,FY16,"4601 Hedgewood Drive
Nashville, TN 37216
(36.22784, -86.720692)"
Westmeade Elementary School,MNPS,6641 Clearbrook Drive,Nashville,TN,37205,2,Basic Operating,W.O. Smith Music School,FY16,"6641 Clearbrook Drive
Nashville, TN 37205
(36.091787, -86.894436)"
Cora Howe School,MNPS,1928 Greenwood Avenue,Nashville,TN,37206,17,Basic Operating,Frist Center for the Visual Arts,FY17,"1928 Greenwood Avenue
Nashville, TN 37206
(36.189276, -86.734801)"
Hillsboro High School,MNPS,3812 Hillsboro Pike,Nashville,TN,37215,225,Basic Operating,The Nashville Shakespeare Festival,FY16,"3812 Hillsboro Pike
Nashville, TN 37215
(36.107472, -86.812867)"
Stella Maris,Home Schooled,Various addresses,Nashville,TN,37221,67,Basic Operating,Nashville Children's Theatre,FY19,
East Nashville Magnet High School,MNPS,110 Gallatin Ave,Nashville,TN,37206,2,Youth Arts,Southern Word,FY19,"110 Gallatin Ave
Nashville, TN 37206
(36.178698, -86.750831)"
DuPont Tyler Middle Prep,MNPS,431 Tyler Drive,Hermitage,TN,37076,4,Basic Operating,Music City Youth Orchestra,FY17,"431 Tyler Drive
Hermitage, TN 37076
(36.198483, -86.611917)"
Apollo Middle School,MNPS,631 Richards Road,Antioch,TN,37013,6,Basic Operating,W.O. Smith Music School,FY17,"631 Richards Road
Antioch, TN 37013
(36.067445, -86.664309)"
Cane Ridge Elementary,MNPS,3884 Asheford Trace,Antioch,TN,37013-2375,132,Basic Operating,Cheekwood,FY19,"3884 Asheford Trace
Antioch, TN 37013-2375
(36.04045, -86.619964)"
Community Based Transition Program,MNPS,2601 Bransford Ave,Nashville,TN,37204,8,Basic Operating,Frist Center for the Visual Arts,FY17,"2601 Bransford Ave
Nashville, TN 37204
(36.121796, -86.7655)"
Christ the King School,Private School,3105 Belmont Blvd.,Nashville,TN,37212,22,Basic Operating,Nashville Children's Theatre,FY19,"3105 Belmont Blvd.
Nashville, TN 37212
(36.118319, -86.796545)"
Davis Early Learning Center,Early Learning Center/Pre-K,1910 S. Hamilton Rd.,Nashville,TN,37218,100,Basic Operating,Nashville Ballet,FY19,"1910 S. Hamilton Rd.
Nashville, TN 37218
(36.191753, -86.832991)"
Casa Azafran Early Learning Center,Pre-K/ELC,2195 Nolensville Pike,Nashville,TN,37211,90,Arts Access,Nashville Ballet,FY17,"2195 Nolensville Pike
Nashville, TN 37211
(36.126647, -86.753004)"
May Werthan Shayne Elementary School,MNPS,6217 Nolensville Pike,Nashville,TN,37211,149,Basic Operating,Tennessee Performing Arts Center,FY17,"6217 Nolensville Pike
Nashville, TN 37211
(36.020211, -86.710266)"
Nashville Prep,MNPS,1300 56th Avenue North,Nashville,TN,37209,3,Basic Operating,W.O. Smith Music School,FY17,"1300 56th Avenue North
Nashville, TN 37209
(36.162413, -86.855633)"
Gordon Jewish Community Center,Other,701 Percy Warner Boulevard,Nashville,TN,37205,50,Basic Operating,Global Education Center,FY19,"701 Percy Warner Boulevard
Nashville, TN 37205
(36.08481, -86.894531)"
Glencliff Elementary School,MNPS,120 Antioch Pike,Nashville,TN,37211,1,Basic Operating,W.O. Smith Music School,FY17,"120 Antioch Pike
Nashville, TN 37211
(36.101157, -86.722664)"
Lakeview Elementary Design Center,MNPS,455 Rural Hill Road,Nashville,TN,37217,477,Basic Operating,Nashville Children's Theatre,FY16,"455 Rural Hill Road
Nashville, TN 37217
(36.078477, -86.629671)"
Old Center Elementary School,MNPS,1245 Dickerson Pike South,Goodlettsville,TN,37072,25,Basic Operating,Cheekwood,FY17,"1245 Dickerson Pike South
Goodlettsville, TN 37072
(36.290781, -86.737701)"
Woodmont Christian Preschool,Private School,3601 Hillsboro Pike,Nashville,TN,37215-2123,28,Basic Operating,Cheekwood,FY19,"3601 Hillsboro Pike
Nashville, TN 37215-2123
(36.111648, -86.811206)"
Harris-Hillman School,MNPS,1706 26th Avenue South,Nashville,TN,37212,150,Basic Operating,Nashville Ballet,FY16,"1706 26th Avenue South
Nashville, TN 37212
(36.137515, -86.808046)"
West End Middle Prep,MNPS,3529 West End Avenue,Nashville,TN,37205,2,Arts Access,Global Education Center,FY17,"3529 West End Avenue
Nashville, TN 37205
(36.134835, -86.824625)"
Franklin Road Academy,Private School,4700 Franklin Pike,Nashville,TN,37220,74,Basic Operating,Nashville Children's Theatre,FY19,"4700 Franklin Pike
Nashville, TN 37220
(36.083081, -86.772376)"
Warner Enhanced Option Elementary School,MNPS,626 Russell Street,Nashville,TN,37206,120,Basic Operating,Nashville Symphony,FY17,"626 Russell Street
Nashville, TN 37206
(36.172254, -86.760445)"
John Overton High School,MNPS,4820 Franklin Road,Nashville,TN,37220,37,Arts Access,Conexion Americas,FY17,
Eakin,MNPS,2500 Fairfax Ave,Nashville,TN,37212,3,Youth Arts,"East Nashville Hope Exchange, Inc.",FY19,"2500 Fairfax Ave
Nashville, TN 37212
(36.13475, -86.807413)"
Dan Mills Elementary School,MNPS,4106 Kennedy Ave,Nashville,TN,37216,5,Core Operating,Theater Bug,FY19,"4106 Kennedy Ave
Nashville, TN 37216
(36.218646, -86.717495)"
Hattie Cotton STEM Elementary School,MNPS,1033 W Greenwood Ave,Nashville,TN,37206,1,Core Operating,Theater Bug,FY19,"1033 W Greenwood Ave
Nashville, TN 37206
(36.190618, -86.747804)"
Donelson Middle Prep,MNPS,110 Stewarts Ferry Pike,Nashville,TN,37214,1,Basic Operating,Global Education Center,FY19,"110 Stewarts Ferry Pike
Nashville, TN 37214
(36.167, -86.655671)"
Maplewood High School,MNPS,401 Walton Lane,Nashville,TN,37216,1,Basic Operating,W.O. Smith Music School,FY17,"401 Walton Lane
Nashville, TN 37216
(36.232997, -86.750784)"
Woodmont Christian Preschool,Pre-K/ELC,3601 Hillsboro Pike,Nashville,TN,37215,17,Basic Operating,Cheekwood,FY17,"3601 Hillsboro Pike
Nashville, TN 37215
(36.111648, -86.811206)"
Creswell Middle Prep School of the Arts,MNPS,3500 John Mallette Drive,Nashville,TN,37218,25,Basic Operating,Choral Arts Link,FY16,"3500 John Mallette Drive
Nashville, TN 37218
(36.195104, -86.838212)"
Joelton Middle School,MNPS,3500 Old Clarksville Pike,Joelton,TN,37080,25,Basic Operating,Belcourt Theatre,FY19,"3500 Old Clarksville Pike
Joelton, TN 37080
(36.313358, -86.865768)"
Fall-Hamilton Advanced Option School,MNPS,510 Wedgewood Avenue,Nashville,TN,37203,330,Basic Operating,Nashville Opera,FY17,"510 Wedgewood Avenue
Nashville, TN 37203
(36.133001, -86.76601)"
Warner Enhanced Option Elementary School,MNPS,626 Russell Street,Nashville,TN,37206,360,Basic Operating,Nashville Ballet,FY16,"626 Russell Street
Nashville, TN 37206
(36.172254, -86.760445)"
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,96,Arts Access,Belcourt Theatre,FY17,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
